"O‘zbekiston Respublikasiga kelgan chet el fuqarolarining davlatlar bo‘yicha taqsimlanishi, ming kishi / 
Распределение въехавших в Республику Узбекистан иностранных граждан с туристскими целями по странам, тысяч человек / 
Arrivals of foreign citizents to the Republic of Uzbekistan by countries , thous. persons",,,,,,,,,,
Ko‘rsatkichlar,Кўрсаткичлар,Показатели,Indicators,2015,2016,2017,2018,2019,2020,2021
"Jami kelgan chet el fuqarolari ","Жами келган чет ел фуқаролари ","Всего въехало иностранных граждан (с туристскими целями)","Total arrivals of foreign citizens",1917.7,2027,2690,5346.3,6748.512,1504.1,1881.4
ayollar,аёллар,женщины,women,1056.1,1128.3,1496.5,2830.5,3530.005,738.7,924.6
erkaklar,еркаклар,мужчины,men,861.6,898.7,1193.5,2515.8,3218.507,765.4,956.7
Ozarbayjon,Озарбайжон,Азербайджан,Azerbaijan,2.9,2.4,3.8,10.4,12.367,2.2,2.9
ayollar,аёллар,женщины,women,0.8,0.6,0.8,2.1,2.597,0.5,0.6
erkaklar,еркаклар,мужчины,men,2.1,1.8,3,8.3,9.77,1.7,2.3
Afg‘oniston,Aфғонистон,Афганистан,Afghanistan,18.4,19.2,23.4,44.2,62.58,20.1,34
ayollar,аёллар,женщины,women,1.9,1.9,2.4,8.3,13.432,4.4,8.5
erkaklar,еркаклар,мужчины,men,16.5,17.3,21,35.9,49.148,15.7,25.5
Belarus,Беларус,Беларусь,Belarus,1.1,1.6,2.7,5.6,7.411,1.6,4.3
ayollar,аёллар,женщины,women,0.2,0.4,0.8,1.5,2.12,0.4,1.4
erkaklar,еркаклар,мужчины,men,0.9,1.2,1.9,4.1,5.291,1.2,2.8
Germaniya,Германия,Германия,Germany,5.5,5.9,7.3,18.1,27.625,2.1,6.9
ayollar,аёллар,женщины,women,2.2,2.7,3.4,7.8,12.326,0.5,2.1
erkaklar,еркаклар,мужчины,men,3.3,3.2,3.9,10.3,15.299,1.6,4.9
Isroil,Исроил,Израиль,Israel,3.5,3.2,3.8,9.8,13.615,1,2.5
ayollar,аёллар,женщины,women,1.6,1.5,1.7,4.3,6.052,0.3,1
erkaklar,еркаклар,мужчины,men,1.9,1.7,2.1,5.5,7.563,0.7,1.6
Hindiston,Ҳиндистон,Индия,India,18.1,17.9,15.2,21,27.898,4.7,10.7
ayollar,аёллар,женщины,women,2.3,2.5,2.9,3.8,5.549,0.6,1.7
erkaklar,еркаклар,мужчины,men,15.8,15.4,12.3,17.2,22.349,4.1,9
Eron,Эрон,Иран,Iran,6.3,5.4,3,2.6,3.469,0.9,1.7
ayollar,аёллар,женщины,women,0.3,0.1,0,0.4,0.473,0.1,0.4
erkaklar,еркаклар,мужчины,men,6,5.3,3,2.2,2.996,0.8,1.3
Italiya,Италия,Италия,Italy,2.5,3.1,4.7,13.8,20.356,0.9,2.1
ayollar,аёллар,женщины,women,1.3,1.7,2.6,6.7,9.815,0.1,0.4
erkaklar,еркаклар,мужчины,men,1.2,1.4,2.1,7.1,10.541,0.8,1.7
